Id,SalePrice
1461,126676.61
1462,184572.11
1463,176070.72
1464,186310.77
1465,201762.94
1466,168130.5
1467,170500.22
1468,163362.66
1469,201291.52
1470,120927.195
1471,205574.81
1472,86485.586
1473,102162.984
1474,151037.78
1475,138017.39
1476,406237.16
1477,253928.4
1478,283917.44
1479,290830.3
1480,489628.8
1481,307576.84
1482,218085.6
1483,179627.19
1484,168935.94
1485,187433.06
1486,190612.67
1487,305860.25
1488,236116.34
1489,193962.55
1490,184369.02
1491,191081.66
1492,93208.7
1493,177512.27
1494,292885.6
1495,321333.56
1496,239768.25
1497,157085.27
1498,150779.33
1499,155161.94
1500,142914.12
1501,162019.27
1502,145322.56
1503,275390.88
1504,250372.64
1505,217793.2
1506,162625.83
1507,235545.67
1508,203720.34
1509,157337.45
1510,136092.88
1511,130426.195
1512,164633.14
1513,136740.58
1514,187975.58
1515,198560.81
1516,175792.4
1517,163591.05
1518,134349.2
1519,215826.0
1520,128752.72
1521,128752.72
1522,160673.17
1523,114721.6
1524,136063.5
1525,130439.92
1526,139671.95
1527,108695.08
1528,142382.94
1529,137779.48
1530,185304.02
1531,128714.35
1532,91470.96
1533,140001.61
1534,126226.61
1535,161919.8
1536,96543.95
1537,70095.36
1538,193740.33
1539,189759.28
1540,109249.98
1541,137568.52
1542,151649.02
1543,239738.31
1544,94401.04
1545,122572.78
1546,115627.59
1547,122724.31
1548,132501.55
1549,95425.45
1550,138538.8
1551,118662.36
1552,142554.42
1553,151140.94
1554,116982.35
1555,187873.11
1556,75463.766
1557,78394.14
1558,86291.7
1559,106517.93
1560,125252.59
1561,119188.84
1562,135215.47
1563,120211.09
1564,152341.27
1565,127625.89
1566,257619.16
1567,59386.49
1568,201028.45
1569,131715.27
1570,128455.766
1571,142245.5
1572,152182.5
1573,267550.66
1574,102528.945
1575,208595.67
1576,192847.23
1577,193548.58
1578,134475.25
1579,141921.11
1580,196116.16
1581,149543.94
1582,123475.3
1583,347030.5
1584,222608.53
1585,141690.27
1586,94133.78
1587,107091.05
1588,136389.08
1589,100335.94
1590,146628.69
1591,88555.27
1592,116886.305
1593,109540.81
1594,179728.12
1595,101319.85
1596,223329.78
1597,178401.58
1598,199093.83
1599,189379.78
1600,176420.11
1601,88316.57
1602,130018.445
1603,96625.44
1604,264233.28
1605,282781.53
1606,167315.66
1607,168310.97
1608,213758.75
1609,184687.4
1610,142621.7
1611,134764.11
1612,162534.44
1613,167601.27
1614,118608.086
1615,83351.29
1616,72375.445
1617,104683.51
1618,131020.24
1619,134554.88
1620,137319.62
1621,141550.53
1622,133716.6
1623,279930.62
1624,184776.77
1625,149517.89
1626,170153.77
1627,181218.53
1628,288086.75
1629,187928.22
1630,297696.88
1631,226393.42
1632,228907.27
1633,176354.31
1634,181666.03
1635,175703.58
1636,152369.16
1637,188730.11
1638,221550.95
1639,188179.11
1640,294630.03
1641,163291.83
1642,216008.6
1643,242325.02
1644,213238.95
1645,191888.92
1646,155206.5
1647,175314.44
1648,117506.016
1649,135123.28
1650,119442.91
1651,135515.69
1652,83941.43
1653,89033.68
1654,154527.81
1655,162238.19
1656,143401.39
1657,154527.81
1658,130491.19
1659,152048.5
1660,146164.58
1661,489130.56
1662,476753.16
1663,421155.25
1664,488384.94
1665,307194.75
1666,301050.4
1667,363059.56
1668,319222.1
1669,279647.0
1670,351649.78
1671,269686.47
1672,474701.97
1673,305160.22
1674,247521.67
1675,187292.48
1676,189251.48
1677,220685.52
1678,440034.94
1679,355660.84
1680,317146.62
1681,258398.36
1682,291725.1
1683,181698.92
1684,178132.98
1685,171817.61
1686,162975.11
1687,174362.75
1688,190612.67
1689,193156.83
1690,199107.81
1691,185690.11
1692,287356.7
1693,172960.95
1694,179992.56
1695,174362.75
1696,287192.4
1697,179454.98
1698,402178.62
1699,308881.16
1700,240792.27
1701,240731.9
1702,272013.2
1703,251145.34
1704,305576.5
1705,237293.55
1706,460346.28
1707,214720.4
1708,217678.53
1709,300846.03
1710,234265.08
1711,222815.55
1712,261078.36
1713,264943.94
1714,214856.56
1715,193593.48
1716,190452.98
1717,178394.62
1718,140040.75
1719,191081.66
1720,237519.83
1721,188015.1
1722,134892.95
1723,155565.25
1724,214720.4
1725,228559.52
1726,159061.16
1727,155394.53
1728,185119.2
1729,158596.81
1730,164071.55
1731,111438.65
1732,124109.17
1733,119340.414
1734,131296.88
1735,137924.6
1736,105188.53
1737,369941.53
1738,198807.52
1739,288304.47
1740,210738.31
1741,183126.97
1742,162019.27
1743,173912.25
1744,312152.25
1745,215179.56
1746,243844.6
1747,218450.22
1748,191943.56
1749,156664.8
1750,139689.7
1751,232603.58
1752,115854.84
1753,150315.05
1754,221145.3
1755,155751.34
1756,134218.83
1757,129452.27
1758,132948.84
1759,168241.47
1760,169114.23
1761,162453.8
1762,163938.9
1763,158431.02
